id	select_type	table	type	possible_keys	key	key_len	ref	rows	Extra	
1	PRIMARY	<derived5>	ALL	NULL	NULL	NULL	NULL	10000000	Using where; Using temporary; Using filesort	
1	PRIMARY	<derived2>	ref	<auto_key0>	<auto_key0>	5	guests_exposed.id	1000	NULL	
5	DERIVED	<derived6>	ALL	NULL	NULL	NULL	NULL	1000000	Using where; Using filesort	
5	DERIVED	<derived7>	ref	<auto_key0>	<auto_key0>	5	current_table.id	10	NULL	
7	DERIVED	p	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using temporary; Using filesort	
7	DERIVED	e	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using join buffer (Block Nested Loop)
6	DERIVED	p	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using temporary; Using filesort	
6	DERIVED	e	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using join buffer (Block Nested Loop)
2	DERIVED	<derived3>	ALL	NULL	NULL	NULL	NULL	1000000000	Using where	
2	DERIVED	<derived4>	ref	<auto_key0>	<auto_key0>	5	current_table.id	10	NULL	
4	DERIVED	b	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using temporary; Using filesort	
4	DERIVED	p	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using join buffer (Block Nested Loop)
4	DERIVED	ur	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using join buffer (Block Nested Loop)
3	DERIVED	b	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using temporary; Using filesort	
3	DERIVED	p	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using join buffer (Block Nested Loop)
3	DERIVED	ur	ALL	NULL	NULL	NULL	NULL	1000	Using where; Using join buffer (Block Nested Loop)
